comments_sampled_per_video,repetition,seed,eligible_videos,topic_number,topic_label,metric,spearman_rho
10,2,21260830,591,14,Thermostat wiring and smart heating controls,duration_minutes,0.11316188193885111
10,2,21260830,591,14,Thermostat wiring and smart heating controls,view_count,-0.07876996581684323
10,2,21260830,591,14,Thermostat wiring and smart heating controls,like_count,-0.11597785107257362
10,2,21260830,591,14,Thermostat wiring and smart heating controls,api_comment_count,-0.09674720745112918
10,2,21260830,591,14,Thermostat wiring and smart heating controls,likes_per_1000_views,-0.04450007502059934
10,2,21260830,591,14,Thermostat wiring and smart heating controls,api_comments_per_1000_views,0.0153170330053034
10,2,21260830,591,14,Thermostat wiring and smart heating controls,views_per_day,-0.14988914677845816
10,2,21260830,591,14,Thermostat wiring and smart heating controls,api_comments_per_day,-0.15955789161119213
10,2,21260830,591,15,Vapour barriers and moisture control,duration_minutes,-0.071531309093163
10,2,21260830,591,15,Vapour barriers and moisture control,view_count,0.04896965455650397
10,2,21260830,591,15,Vapour barriers and moisture control,like_count,0.028026112145550224
10,2,21260830,591,15,Vapour barriers and moisture control,api_comment_count,-0.027627566682759456
10,2,21260830,591,15,Vapour barriers and moisture control,likes_per_1000_views,-0.0598339117698834
10,2,21260830,591,15,Vapour barriers and moisture control,api_comments_per_1000_views,-0.10571432974423753
10,2,21260830,591,15,Vapour barriers and moisture control,views_per_day,0.05908077403378241
10,2,21260830,591,15,Vapour barriers and moisture control,api_comments_per_day,-0.0009454849230344371
10,2,21260830,591,16,"Prospective choices, recommendations and alternatives",duration_minutes,0.22360355945247035
10,2,21260830,591,16,"Prospective choices, recommendations and alternatives",view_count,-0.11438905086822626
10,2,21260830,591,16,"Prospective choices, recommendations and alternatives",like_count,-0.03837815134626348
10,2,21260830,591,16,"Prospective choices, recommendations and alternatives",api_comment_count,0.019112485948022413
10,2,21260830,591,16,"Prospective choices, recommendations and alternatives",likes_per_1000_views,0.14158226712835195
10,2,21260830,591,16,"Prospective choices, recommendations and alternatives",api_comments_per_1000_views,0.17429903915900438
10,2,21260830,591,16,"Prospective choices, recommendations and alternatives",views_per_day,-0.07347416459725366
10,2,21260830,591,16,"Prospective choices, recommendations and alternatives",api_comments_per_day,0.06460579769326484
10,3,21260831,591,1,Situated household retrofit experience and building context,duration_minutes,-0.06305467753392305
10,3,21260831,591,1,Situated household retrofit experience and building context,view_count,0.07465707555615497
10,3,21260831,591,1,Situated household retrofit experience and building context,like_count,0.12344779998535596
10,3,21260831,591,1,Situated household retrofit experience and building context,api_comment_count,0.1284518880611346
10,3,21260831,591,1,Situated household retrofit experience and building context,likes_per_1000_views,0.07598692825314528
10,3,21260831,591,1,Situated household retrofit experience and building context,api_comments_per_1000_views,0.03351805948596794
10,3,21260831,591,1,Situated household retrofit experience and building context,views_per_day,0.10554335416032053
10,3,21260831,591,1,Situated household retrofit experience and building context,api_comments_per_day,0.1488214769876131
10,3,21260831,591,2,Spray foam and foam insulation,duration_minutes,-0.20222881761310563
10,3,21260831,591,2,Spray foam and foam insulation,view_count,0.13352673285591427
10,3,21260831,591,2,Spray foam and foam insulation,like_count,0.12092703177411786
10,3,21260831,591,2,Spray foam and foam insulation,api_comment_count,-0.021027796290311998
10,3,21260831,591,2,Spray foam and foam insulation,likes_per_1000_views,-0.09046487245879435
10,3,21260831,591,2,Spray foam and foam insulation,api_comments_per_1000_views,-0.23659262046502758
10,3,21260831,591,2,Spray foam and foam insulation,views_per_day,0.18509005126509387
10,3,21260831,591,2,Spray foam and foam insulation,api_comments_per_day,0.024187777260281495
10,3,21260831,591,3,Clarification and specification questions,duration_minutes,-0.10826884029727739
10,3,21260831,591,3,Clarification and specification questions,view_count,0.06685753550160328
10,3,21260831,591,3,Clarification and specification questions,like_count,0.02182074991665036
10,3,21260831,591,3,Clarification and specification questions,api_comment_count,-0.041315429570245726
10,3,21260831,591,3,Clarification and specification questions,likes_per_1000_views,-0.06527351349310788
10,3,21260831,591,3,Clarification and specification questions,api_comments_per_1000_views,-0.13113834173156205
10,3,21260831,591,3,Clarification and specification questions,views_per_day,0.02854643984085608
10,3,21260831,591,3,Clarification and specification questions,api_comments_per_day,-0.06944955365758945
10,3,21260831,591,4,"Implementation, cost and how-to questions",duration_minutes,-0.013489105319631293
10,3,21260831,591,4,"Implementation, cost and how-to questions",view_count,-0.029083461758292246
10,3,21260831,591,4,"Implementation, cost and how-to questions",like_count,-0.031720685775413295
10,3,21260831,591,4,"Implementation, cost and how-to questions",api_comment_count,-0.08135680430936454
10,3,21260831,591,4,"Implementation, cost and how-to questions",likes_per_1000_views,-0.003772245654640332
10,3,21260831,591,4,"Implementation, cost and how-to questions",api_comments_per_1000_views,-0.05943317089116648
10,3,21260831,591,4,"Implementation, cost and how-to questions",views_per_day,-0.054756566238563543
10,3,21260831,591,4,"Implementation, cost and how-to questions",api_comments_per_day,-0.11267677440037224
10,3,21260831,591,5,Heat pumps and heating systems,duration_minutes,0.22950219689932516
10,3,21260831,591,5,Heat pumps and heating systems,view_count,-0.19456176507465084
10,3,21260831,591,5,Heat pumps and heating systems,like_count,-0.13012507736984658
10,3,21260831,591,5,Heat pumps and heating systems,api_comment_count,0.03205087067222522
10,3,21260831,591,5,Heat pumps and heating systems,likes_per_1000_views,0.13568964632280048
10,3,21260831,591,5,Heat pumps and heating systems,api_comments_per_1000_views,0.2827998705083431
10,3,21260831,591,5,Heat pumps and heating systems,views_per_day,-0.16134127524366565
10,3,21260831,591,5,Heat pumps and heating systems,api_comments_per_day,0.05506191586792621
10,3,21260831,591,6,"Praise, gratitude and social endorsement",duration_minutes,0.397228969178515
10,3,21260831,591,6,"Praise, gratitude and social endorsement",view_count,-0.17669409462311456
10,3,21260831,591,6,"Praise, gratitude and social endorsement",like_count,-0.130808824065579
